"","Item_Number","Set_Name","Amazon_Price","Year","Pages","unique_pieces","Theme","Pieces","Price","Ages","Minifigures","Packaging","Weight","Availability","Size"
"1473","76230","Venom Figure","-",2022,NA,"100","Marvel Super Heroes","297",NA,"Ages_8+",NA,"Box","NA","Retail","Small"
"1474","76231","Guardians of the Galaxy Advent Calendar","-",2022,NA,"172","Marvel Super Heroes","268",NA,"Ages_NA","6,","Box","NA","Retail","Small"
"1475","76237","Sanctuary II: Endgame Battle","615.86 Kr",2021,NA,"125","Marvel Super Heroes","322",NA,"Ages_7+","3,","Box","NA","Retail","Small"
"1476","76238","Classic TV Series Batman Cowl",NA,2021,NA,"109","DC Comics Super Heroes","372",NA,"Ages_18+",NA,"Box","NA","Retail","Small"
"1477","76239","Batmobile Tumbler: Scarecrow Showdown","-",2021,NA,"137","DC Comics Super Heroes","422",NA,"Ages_8+","2,","Box","NA","Retail","Small"
"1478","76240","Batmobile Tumbler","2025 Kr",2021,NA,"351","DC Comics Super Heroes","2049",NA,"Ages_18+","2,","Box","NA","LEGO exclusive","Small"
"1479","76241",NA,"130.03 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1480","76242",NA,"128.67 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1481","76243",NA,"101.58 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1482","76244",NA,"236.96 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1483","76245",NA,"169.30 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1484","76247",NA,"406.26 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1485","76248",NA,"941.33 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1486","76253",NA,"108.36 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1487","76254",NA,"270.82 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1488","76255",NA,"805.89 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1489","76257",NA,"265.47 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1490","76258",NA,"265.47 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1491","76259",NA,"304.75 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1492","76260",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1493","76262",NA,"2025 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1494","76382","Hogwarts Moment: Transfiguration Class","473.71 Kr*",2021,NA,"84","Harry Potter","241",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"1495","76383","Hogwarts Moment: Potions Class","473.71 Kr*",2021,NA,"120","Harry Potter","271",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"1496","76384","Hogwarts Moment: Herbology Class","-",2021,NA,"104","Harry Potter","233",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"1497","76385","Hogwarts Moment: Charms Class","562.50 Kr",2021,NA,"111","Harry Potter","256",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"1498","76386","Hogwarts: Polyjuice Potion Mistake","-",2021,NA,"106","Harry Potter","217",NA,"Ages_7+","4,","Box","NA","Retail","Small"
"1499","76387","Hogwarts: Fluffy Encounter","-",2021,NA,"173","Harry Potter","397",NA,"Ages_8+","4,","Box","NA","Retail","Small"
"1500","76388","Hogsmeade Village Visit","-",2021,NA,"290","Harry Potter","851",NA,"Ages_8+","7,","Box","NA","Retail","Small"
"1501","76389","Hogwarts Chamber of Secrets","-",2021,NA,"367","Harry Potter","1176",NA,"Ages_9+","11,","Box","NA","Retail","Small"
"1502","76390","LEGO Harry Potter Advent Calendar",NA,2021,NA,"142","Harry Potter","274",NA,"Ages_7+","6,","Box","NA","Retail","Small"
"1503","76391","Hogwarts Icons - Collectors' Edition",NA,2021,NA,"505","Harry Potter","3010",NA,"Ages_18+","3,","Box","NA","LEGO exclusive","Small"
"1504","76392","Hogwarts Wizard's Chess",NA,2021,NA,"125","Harry Potter","876",NA,"Ages_10+","4,","Box","NA","Retail - limited","Small"
"1505","76393","Harry Potter & Hermione Granger",NA,2021,NA,"231","Harry Potter","1673",NA,"Ages_10+",NA,"Box","NA","Retail - limited","Small"
"1506","76394","Fawkes, Dumbledore's Phoenix",NA,2021,NA,"198","Harry Potter","597",NA,"Ages_10+","1,","Box","NA","Retail - limited","Small"
"1507","76395","Hogwarts: First Flying Lesson","-",2021,NA,"116","Harry Potter","264",NA,"Ages_7+","5,","Box","NA","Retail - limited","Small"
"1508","76396","Hogwarts Moment: Divination Class","325.06 Kr*",2022,NA,"109","Harry Potter","297",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"1509","76397","Hogwarts Moment: Defence Against the Dark Arts Class","-",2022,NA,"115","Harry Potter","257",NA,"Ages_8+","4,","Box","NA","Retail","Small"
"1510","76398","Hogwarts Hospital Wing","483.94 Kr",2022,NA,"156","Harry Potter","510",NA,"Ages_8+","4,","Box","NA","Retail","Small"
"1511","76399","Hogwarts Magical Trunk","-",2022,NA,"224","Harry Potter","603",NA,"Ages_8+","1","Box","NA","Retail","Small"
"1512","76400","Hogwarts Carriage and Thestrals","-",2022,NA,"66","Harry Potter","121",NA,"Ages_7+","2,","Box","NA","Retail","Small"
"1513","76401","Hogwarts Courtyard: Sirius's Rescue","-",2022,NA,"130","Harry Potter","345",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"1514","76402","Hogwarts: Dumbledore's Office","784.15 Kr",2022,NA,"235","Harry Potter","654",NA,"Ages_8+","6,","Box","NA","Retail","Small"
"1515","76403","The Ministry of Magic","888.71 Kr",2022,NA,"242","Harry Potter","990",NA,"Ages_9+","10,","Box","NA","Retail","Small"
"1516","76404","LEGO Harry Potter Advent Calendar","-",2022,NA,"192","Harry Potter","334",NA,"Ages_7+","8,","Box","NA","Retail","Small"
"1517","76405","Hogwarts Express - Collectors' Edition",NA,2022,NA,"776","Harry Potter","5129",NA,"Ages_18+","20,","Box","NA","LEGO exclusive","Small"
"1518","76406","Hungarian Horntail Dragon","-",2022,NA,"194","Harry Potter","671",NA,"Ages_10+","1,","Box","NA","Retail","Small"
"1519","76407","The Shrieking Shack & Whomping Willow","855.19 Kr",2022,NA,"294","Harry Potter","777",NA,"Ages_9+","7,","Box","NA","Retail","Small"
